gene,lfc_urban,padj_urban,lfc_rural,padj_rural,delta_response
RP5-857K21.4,-0.33465354895973315,2.391872201980899e-08,-0.23374900907921214,0.008152345609018563,-0.100904539880521
NOC2L,0.1429696513312779,0.05871923455577864,0.18215910939382796,0.1290496524943037,-0.03918945806255006
ISG15,1.890494545714201,0.0,1.0445324270432326,9.973933341109932e-168,0.8459621186709685
C1orf159,-0.11028660422470678,0.12922844535724165,0.1975189505709947,0.06478083437917617,-0.3078055547957015
SDF4,-0.023567360564383917,0.8270094782719516,0.08494565231732339,0.5702318817952622,-0.10851301288170731
UBE2J2,-0.17585874543061186,0.0065490947742149145,0.17051153867147117,0.10875285385214944,-0.34637028410208304
CCNL2,-0.01565912273295507,0.7750130804826465,0.025726365805012703,0.8687030848794297,-0.04138548853796777
MRPL20,0.2051470789131226,5.3756238570081534e-11,0.07050954702711804,0.20154510061469352,0.13463753188600455
SSU72,-0.02004725195640928,0.6139207247329996,0.07076719601282963,0.27924310388699597,-0.0908144479692389
MMP23B,-0.3452373270783809,9.276724915612606e-07,-0.08525731550837064,0.6102569299405952,-0.25998001157001027
CDK11B,-0.00020863827389038629,0.9819079266567134,-0.052811374205697245,0.6361215236472163,0.05260273593180686
SLC35E2B,-0.4132656197542637,1.1576424022721493e-12,-0.07789192114156618,0.535831576006032,-0.3353736986126975
CDK11A,0.0674025571984241,0.2759658397951769,0.023882624489341333,0.8575789037152708,0.04351993270908276
GNB1,-0.03083325021316064,0.3462472044053894,0.07265847456687406,0.11473629658937406,-0.10349172478003471
FAAP20,-0.044669958019059215,0.4452031456170486,-0.04661324962730374,0.7052163935422879,0.001943291608244524
SKI,-0.4672061024747638,5.93415630355196e-12,-0.3127386537691637,0.0019308258364865742,-0.15446744870560009
RER1,0.15663910160380465,0.0022097061277824657,-0.013825248646601127,0.9305744873793476,0.17046435025040577
TNFRSF14,0.053555058451438466,0.27440601774277124,0.0973944162105103,0.12998198204107247,-0.043839357759071836
CEP104,0.04887970834050604,0.4903319232053159,0.05451696164197274,0.6655270583300422,-0.005637253301466701
KCNAB2,-0.35792306878638247,1.4849519345301797e-15,-0.17132189671472292,0.028618387589848446,-0.18660117207165955
RPL22,-0.0801530835410788,3.148313542183688e-23,-0.02443535043996597,0.06329022613671688,-0.05571773310111283
TNFRSF25,-0.10161784625392813,0.1039515124038684,0.09685466196488961,0.29826824029741705,-0.19847250821881773
NOL9,-0.06356397394817664,0.36140711086383653,0.12589145024150983,0.2601345475959173,-0.18945542418968647
DNAJC11,0.12993029762014952,0.05448807892087714,0.2450249827054735,0.0173108314430633,-0.11509468508532397
CAMTA1,0.0010827733508677463,0.9589025164188596,0.058766650362944366,0.3539543379091323,-0.05768387701207662
PARK7,0.111370637432086,7.521454396381383e-05,0.008144443353756723,0.9066182546227248,0.10322619407832928
RERE,-0.04890257041688621,0.12451566445530064,-0.008103469487927721,0.9175410463723662,-0.04079910092895849
ENO1,0.9037369907712807,0.0,0.3869477754888772,3.917898074969867e-47,0.5167892152824034
CA6,-0.14212063573388037,0.0015321549705727894,-0.09736191348994878,0.19921074663711494,-0.044758722243931584
SLC25A33,0.1324199834537543,0.10403197666862406,0.09743176571068317,0.5152084531382584,0.034988217743071134
PIK3CD,-0.16807534233075413,3.1418735738449084e-11,-0.055983359401322215,0.21939664378655035,-0.11209198292943193
PIK3CD-AS2,-0.25696407905598695,0.00031813848552614206,-0.09645171238232622,0.5180637352521138,-0.16051236667366073
CLSTN1,-0.15628346700478216,0.0046201259979099,0.02048407800857277,0.8637277932312829,-0.17676754501335493
LZIC,0.03978934641394982,0.4575250124518411,0.09010531394117288,0.4553974108929087,-0.05031596752722306
UBE4B,-0.18606011809488038,2.4315239574908746e-05,-0.05571972226474583,0.4813236403066541,-0.13034039583013454
KIF1B,-0.4823755049895533,1.0555653542137023e-08,-0.05773240460769723,0.8218566475964236,-0.42464310038185604
DFFA,0.120313369864576,0.09714379838204105,0.13612934991101303,0.2789121277173964,-0.015815980046437028
PEX14,-0.18135577464179908,0.0003222539624234411,0.008476278054070197,0.9393155722603286,-0.18983205269586928
TARDBP,-0.21734880505622967,0.00011447915966147452,-0.1181900452070522,0.2067183282114694,-0.09915875984917746
SRM,0.5688924549750689,1.6887920259822668e-41,0.259987247045695,1.242378410817232e-05,0.3089052079293739
EXOSC10,-0.11933947999380094,0.07215792871414617,0.06362876534913985,0.5658812976811436,-0.1829682453429408
MTOR,-0.03326257862370747,0.5771476996540476,0.0347188424081725,0.7712720366737709,-0.06798142103187997
UBIAD1,0.08166366742251163,0.3420137946736711,0.17366288783160624,0.21322594244606802,-0.09199922040909461
VPS13D,-0.17879875165709175,2.8152119605173647e-06,-0.007825058548633357,0.944261614578183,-0.1709736931084584
DHRS3,-0.3816128594500276,9.402496816357747e-08,-0.11700508442172794,0.38554612518456227,-0.2646077750282997
PRDM2,-0.10102723353687082,0.0006683468919952587,0.02817121639419278,0.6108880128575762,-0.1291984499310636
DNAJC16,-0.13179466053281105,0.03041713209851106,0.04530348808848896,0.7052163935422879,-0.17709814862130002
DDI2,-0.03984345377436908,0.5522811166046662,0.0207485305884675,0.8569108541289758,-0.06059198436283658
PLEKHM2,0.062489873729316185,0.34425719336935384,0.16112916024823787,0.08336706511654295,-0.09863928651892168
SPEN,-0.053597449819110854,0.21890329259223132,0.05906579846336143,0.40793790513578665,-0.11266324828247229
FBXO42,-0.01573707745368695,0.7595252538186088,-0.02428390750788766,0.7971596482137725,0.008546830054200708
SZRD1,0.1700088406503419,0.0007805658707401552,-0.0036876819730457065,0.9707727467345961,0.1736965226233876
NECAP2,-0.150590703211375,0.0038789148980128973,0.0029703018731475953,0.977724897811786,-0.15356100508452258
CROCC,-0.36108779739938957,6.937827070159101e-07,-0.3770467681890009,0.0016003252060362778,0.015958970789611338
SDHB,0.045218180750541584,0.3955353869341723,0.16080165725079829,0.024306597131349177,-0.1155834765002567
RCC2,0.1066259953962373,0.07815786361363344,0.10232741356989192,0.3035611121995229,0.004298581826345377
UBR4,-0.1276039016772294,0.004429893989322249,-0.06569685985123425,0.4455047361387094,-0.06190704182599516
RP1-43E13.2,-0.042475482821873765,0.5644140288455138,0.2525696195545515,0.0454987022486363,-0.29504510237642523
