gene,lfc_urban,padj_urban,lfc_rural,padj_rural,delta_response
RP5-857K21.4,-0.16755726761861187,0.019620092248139844,-0.21887454835727285,0.011084369598816347,0.051317280738660986
NOC2L,0.2510794025567033,0.0014349137307432427,0.05487718064706078,0.6971331885523014,0.19620222190964254
ISG15,1.714570870899735,0.0,0.7874734582404307,3.98648442676315e-103,0.9270974126593042
C1orf159,0.15788003425247785,0.047878047513340745,-0.053051291668836625,0.5513548486473061,0.21093132592131447
UBE2J2,0.01900404366081905,0.775108974623789,-0.09349922251595086,0.3059872649257979,0.11250326617676991
CCNL2,-0.02012703962920542,0.8095710262492769,-0.2292897575713609,0.009394274466139727,0.2091627179421555
MRPL20,0.17616168510825717,9.846914173183816e-07,0.067438745673363,0.16290907818996092,0.10872293943489417
SSU72,-0.018030752800081918,0.7571538339462891,0.011094947271989815,0.8694700639673967,-0.029125700072071735
CDK11B,0.09357228786484843,0.1311181359699203,-0.016621207498313265,0.8863187530158397,0.1101934953631617
SLC35E2B,-0.18342556368238686,0.009434259492889705,-0.3497256514984301,7.603526191702821e-05,0.16630008781604325
GNB1,-0.04367979674001339,0.2667179417249477,-0.12386248711636937,0.0026596576453003515,0.08018269037635598
FAAP20,0.03768516649534798,0.5971945916096112,-0.07818125669525633,0.3863359496139208,0.1158664231906043
SKI,-0.18118330828433293,0.02999933399251762,-0.2317174478812106,0.02549084596491598,0.050534139596877664
RER1,0.10202735884443226,0.09158887069616166,0.06598871557198249,0.3863359496139208,0.036038643272449766
TNFRSF14,0.1888690099886571,0.0004953415768279475,-0.026949931865356488,0.7203394227625889,0.2158189418540136
CEP104,0.06527892337182524,0.4364317083461522,0.0008582697982610795,0.9884173175883144,0.06442065357356416
KCNAB2,-0.15193728801619982,0.005748514746451863,-0.2847069500185516,0.00011504379757736781,0.1327696620023518
RPL22,-0.012884003585819528,0.25336670370145686,-0.0784682411963594,1.260362985819646e-12,0.06558423761053987
TNFRSF25,0.027222221174193355,0.6872853609296317,-0.31874726662446423,1.4324659934092372e-05,0.3459694877986576
NOL9,0.01929880322623378,0.8536911157122579,-0.19822042272640122,0.02641360195897321,0.217519225952635
DNAJC11,0.12096827492819608,0.11541771286867512,-0.07662416980348681,0.49315412963459193,0.1975924447316829
CAMTA1,0.018306687463935326,0.7083208758594083,0.0021084358952883574,0.9866747265366428,0.01619825156864697
PARK7,0.16779869046622212,1.3076720094697948e-07,-0.007133761895072014,0.9065716562408548,0.17493245236129412
RERE,-0.056673667855407305,0.1394895431456744,-0.03681833789687452,0.43043915121719006,-0.019855329958532786
ENO1,0.7670641893087848,3.4496800074303617e-245,0.2503251174680643,3.043288814501082e-20,0.5167390718407205
CA6,0.033346704126629746,0.5134054237878211,-0.22477932191494496,2.0592559298431345e-05,0.2581260260415747
SLC25A33,0.26962291953108225,0.0010699481397040027,0.009893803563407164,0.9880095430476087,0.25972911596767506
PIK3CD,-0.08836648658907968,0.0048486075342128575,-0.1866871267412194,2.5684424273662744e-07,0.09832064015213972
PIK3CD-AS2,0.020615236811591355,0.855131320217104,-0.1809463221821304,0.05508975663488124,0.20156155899372175
CLSTN1,-0.0656310752054314,0.3682052004320838,-0.0819220955676948,0.30115582419503606,0.01629102036226339
LZIC,0.011311468693042627,0.8335106721732389,-0.16897856195801828,0.03148731835995288,0.1802900306510609
UBE4B,-0.10788869022477801,0.047210244663104854,-0.10747644020584907,0.09621615016841413,-0.00041225001892894464
KIF1B,-0.17135410427870826,0.13937514721828162,-0.17890110372341753,0.14272162011873932,0.007546999444709268
DFFA,0.11367910748576927,0.14841570137454704,-0.03283189903276959,0.7687287871434645,0.14651100651853888
PEX14,-0.17733037454874653,0.0031143210823863067,-0.051183905039007827,0.512886090177639,-0.1261464695097387
TARDBP,-0.10052345368945954,0.16615765945443847,-0.3872904336487232,1.7461143900744853e-06,0.28676697995926365
SRM,0.5350550891721727,5.656656012231444e-30,0.13250019978515595,0.085783093072178,0.4025548893870168
EXOSC10,0.03948652304500893,0.6426804857241853,0.06561944382544195,0.5850442306653777,-0.02613292078043302
MTOR,0.1728869178745939,0.005027339500030506,-0.13948283498127617,0.07630080233580643,0.3123697528558701
VPS13D,-0.1073335464923096,0.016552808115159544,-0.08938269896956297,0.1268309678156348,-0.01795084752274663
DHRS3,-0.2929365244858008,0.0002817627572364382,-0.15567642135806822,0.18552159617900962,-0.1372601031277326
PRDM2,-0.06580634983007959,0.05644293048486922,-0.18247374126116947,6.704577248274732e-07,0.11666739143108988
DNAJC16,0.1179665638296728,0.08112829473877765,-0.0317594632145827,0.7065982612028148,0.1497260270442555
DDI2,-0.07986991726317329,0.19943706138656603,-0.12196311509327737,0.1338658549689086,0.04209319783010408
PLEKHM2,0.15548050577993117,0.028958960702993197,0.11951161670898162,0.22077059969353785,0.03596888907094954
SPEN,0.04060632575313685,0.4024736996806086,-0.15356331843641746,0.003099125346543102,0.19416964418955432
FBXO42,-0.040892191697396,0.5060123024939228,-0.0968311425011709,0.12491387391603781,0.0559389508037749
SZRD1,0.2335226884458284,0.00012935667873786524,0.017343895005506614,0.8894721879685129,0.2161787934403218
NECAP2,-0.040241541048314476,0.5740269158647394,-0.08502966618877915,0.2205591584749505,0.04478812514046467
CROCC,-0.057857477224365024,0.5915773074816332,-0.1271737408200414,0.2304990801186162,0.06931626359567639
SDHB,0.04750495715955175,0.4283225121341932,0.06364719020310737,0.46499760325421086,-0.016142233043555623
RCC2,0.25750542732200055,4.073658384848153e-05,-0.008795286601648552,0.8861586967843389,0.2663007139236491
UBR4,0.006489003500971644,0.932917707595154,-0.08322218672581252,0.28961499488209447,0.08971119022678417
MRTO4,0.695474500217367,2.1879086264957035e-20,0.050819079584374094,0.6808052817043618,0.6446554206329929
